model,task,shot,task description,accuracy
text-ada-001,french,0,False,0.5629139072847682
text-ada-001,french,1,False,0.5099337748344371
text-ada-001,french,2,False,0.4370860927152318
text-ada-001,french,3,False,0.47019867549668876
text-ada-001,french,4,False,0.5033112582781457
text-ada-001,french,5,False,0.5629139072847682
text-ada-001,french,6,False,0.5165562913907285
text-ada-001,colour,0,False,0.3617021276595745
text-ada-001,colour,1,False,0.3404255319148936
text-ada-001,colour,2,False,0.425531914893617
text-ada-001,colour,3,False,0.35106382978723405
text-ada-001,colour,4,False,0.4148936170212766
text-ada-001,colour,5,False,0.39361702127659576
text-ada-001,colour,6,False,0.43617021276595747
text-ada-001,lowercase,0,False,0.5732484076433121
text-ada-001,lowercase,1,False,0.5605095541401274
text-ada-001,lowercase,2,False,0.45222929936305734
text-ada-001,lowercase,3,False,0.49044585987261147
text-ada-001,lowercase,4,False,0.5477707006369427
text-ada-001,lowercase,5,False,0.47770700636942676
text-ada-001,lowercase,6,False,0.5286624203821656
text-ada-001,question,0,False,0.49645390070921985
text-ada-001,question,1,False,0.475177304964539
text-ada-001,question,2,False,0.4397163120567376
text-ada-001,question,3,False,0.524822695035461
text-ada-001,question,4,False,0.5673758865248227
text-ada-001,question,5,False,0.5957446808510638
text-ada-001,question,6,False,0.6099290780141844
text-babbage-001,french,0,False,0.40397350993377484
text-babbage-001,french,1,False,0.45695364238410596
text-babbage-001,french,2,False,0.4768211920529801
text-babbage-001,french,3,False,0.45695364238410596
text-babbage-001,french,4,False,0.5099337748344371
text-babbage-001,french,5,False,0.48344370860927155
text-babbage-001,french,6,False,0.48344370860927155
text-babbage-001,colour,0,False,0.32978723404255317
text-babbage-001,colour,1,False,0.48936170212765956
text-babbage-001,colour,2,False,0.40425531914893614
text-babbage-001,colour,3,False,0.5106382978723404
text-babbage-001,colour,4,False,0.44680851063829785
text-babbage-001,colour,5,False,0.4148936170212766
text-babbage-001,colour,6,False,0.35106382978723405
text-babbage-001,lowercase,0,False,0.5732484076433121
text-babbage-001,lowercase,1,False,0.43312101910828027
text-babbage-001,lowercase,2,False,0.5222929936305732
text-babbage-001,lowercase,3,False,0.5031847133757962
text-babbage-001,lowercase,4,False,0.47770700636942676
text-babbage-001,lowercase,5,False,0.5159235668789809
text-babbage-001,lowercase,6,False,0.535031847133758
text-babbage-001,question,0,False,0.475177304964539
text-babbage-001,question,1,False,0.36879432624113473
text-babbage-001,question,2,False,0.41843971631205673
text-babbage-001,question,3,False,0.3475177304964539
text-babbage-001,question,4,False,0.44680851063829785
text-babbage-001,question,5,False,0.3617021276595745
text-babbage-001,question,6,False,0.375886524822695
text-curie-001,french,0,False,0.5562913907284768
text-curie-001,french,1,False,0.48344370860927155
text-curie-001,french,2,False,0.4966887417218543
text-curie-001,french,3,False,0.5033112582781457
text-curie-001,french,4,False,0.46357615894039733
text-curie-001,french,5,False,0.4900662251655629
text-curie-001,french,6,False,0.44370860927152317
text-curie-001,colour,0,False,0.5
text-curie-001,colour,1,False,0.5638297872340425
text-curie-001,colour,2,False,0.6170212765957447
text-curie-001,colour,3,False,0.648936170212766
text-curie-001,colour,4,False,0.6382978723404256
text-curie-001,colour,5,False,0.6595744680851063
text-curie-001,colour,6,False,0.6595744680851063
text-curie-001,lowercase,0,False,0.5095541401273885
text-curie-001,lowercase,1,False,0.5222929936305732
text-curie-001,lowercase,2,False,0.45222929936305734
text-curie-001,lowercase,3,False,0.42038216560509556
text-curie-001,lowercase,4,False,0.5095541401273885
text-curie-001,lowercase,5,False,0.4585987261146497
text-curie-001,lowercase,6,False,0.4394904458598726
text-curie-001,question,0,False,0.6382978723404256
text-curie-001,question,1,False,0.425531914893617
text-curie-001,question,2,False,0.5106382978723404
text-curie-001,question,3,False,0.46099290780141844
text-curie-001,question,4,False,0.5673758865248227
text-curie-001,question,5,False,0.5106382978723404
text-curie-001,question,6,False,0.5673758865248227
text-davinci-002,french,0,False,0.3576158940397351
text-davinci-002,french,1,False,0.3509933774834437
text-davinci-002,french,2,False,0.4304635761589404
text-davinci-002,french,3,False,0.5165562913907285
text-davinci-002,french,4,False,0.6821192052980133
text-davinci-002,french,5,False,0.6821192052980133
text-davinci-002,french,6,False,0.7417218543046358
text-davinci-002,colour,0,False,0.5957446808510638
text-davinci-002,colour,1,False,0.5957446808510638
text-davinci-002,colour,2,False,0.6276595744680851
text-davinci-002,colour,3,False,0.5319148936170213
text-davinci-002,colour,4,False,0.6382978723404256
text-davinci-002,colour,5,False,0.6914893617021277
text-davinci-002,colour,6,False,0.7021276595744681
text-davinci-002,lowercase,0,False,0.43312101910828027
text-davinci-002,lowercase,1,False,0.42038216560509556
text-davinci-002,lowercase,2,False,0.4585987261146497
text-davinci-002,lowercase,3,False,0.4968152866242038
text-davinci-002,lowercase,4,False,0.5159235668789809
text-davinci-002,lowercase,5,False,0.535031847133758
text-davinci-002,lowercase,6,False,0.5286624203821656
text-davinci-002,question,0,False,0.475177304964539
text-davinci-002,question,1,False,0.41134751773049644
text-davinci-002,question,2,False,0.46808510638297873
text-davinci-002,question,3,False,0.5106382978723404
text-davinci-002,question,4,False,0.624113475177305
text-davinci-002,question,5,False,0.7163120567375887
text-davinci-002,question,6,False,0.6595744680851063
